study_id,design,outcome,outcome_category,groups,timepoint,timepoint_label,value_type,mean_e,sd_e,n_e,median_e,iqr_low_e,iqr_high_e,min_e,max_e,standard_error_e,ci_lower_e,ci_upper_e,mean_c,sd_c,n_c,median_c,iqr_low_c,iqr_high_c,min_c,max_c,standard_error_c,ci_lower_c,ci_upper_c,unit,reported_format,adjusted,analysis_scale,notes
El-Haggar 2024,RCT,Peroneal_nerve_velocity,nerve conduction,Empagliflozin/standard of care,NA,NA,Baseline,41.3,8.185,25,NA,NA,NA,NA,NA,NA,NA,NA,41.15,8.185,25,NA,NA,NA,NA,NA,NA,NA,NA,implied m/s,mean_SD,NA,NA,NA
El-Haggar 2024,RCT,Peroneal_nerve_velocity,nerve conduction,Empagliflozin/standard of care,NA,NA,Endpoint,41.5,7.8,25,NA,NA,NA,NA,NA,NA,NA,NA,40.95,8.26,25,NA,NA,NA,NA,NA,NA,NA,NA,implied m/s,mean_SD,NA,NA,NA
El-Haggar 2024,RCT,Peroneal_nerve_velocity,nerve conduction,Empagliflozin/standard of care,3 months,NA,Change,0.16,0.955,25,NA,NA,NA,NA,NA,NA,NA,NA,-0.198,0.465,25,NA,NA,NA,NA,NA,NA,NA,NA,implied m/s,mean_SD,NA,NA,NA
Vafaeinasab 2025,RCT,Peroneal_nerve_delay,nerve conduction,Empagliflozin/standard of care,NA,NA,Baseline,4.2,0.42,23,NA,NA,NA,NA,NA,NA,NA,NA,4.03,0.45,24,NA,NA,NA,NA,NA,NA,NA,NA,ms,mean_SD,NA,NA,NA
Vafaeinasab 2025,RCT,Peroneal_nerve_delay,nerve conduction,Empagliflozin/standard of care,NA,NA,Endpoint,3.97,0.46,23,NA,NA,NA,NA,NA,NA,NA,NA,3.99,0.48,24,NA,NA,NA,NA,NA,NA,NA,NA,ms,mean_SD,NA,NA,NA
Vafaeinasab 2025,RCT,Peroneal_nerve_delay,nerve conduction,Empagliflozin/standard of care,5 months,NA,Change,-0.23,0.342811902,23,NA,NA,NA,NA,NA,NA,NA,NA,-0.04,0.361247837,24,NA,NA,NA,NA,NA,NA,NA,NA,ms,mean_SD,NA,NA,NA
El-Haggar 2024,RCT,Peroneal_nerve_latency,nerve conduction,Empagliflozin/standard of care,NA,NA,Baseline,5.3,1.465,25,NA,NA,NA,NA,NA,NA,NA,NA,5.3,1.505,25,NA,NA,NA,NA,NA,NA,NA,NA,implied ms,mean_SD,NA,NA,NA
El-Haggar 2024,RCT,Peroneal_nerve_latency,nerve conduction,Empagliflozin/standard of care,NA,NA,Endpoint,5.1,1.425,25,NA,NA,NA,NA,NA,NA,NA,NA,5.4,1.495,25,NA,NA,NA,NA,NA,NA,NA,NA,implied ms,mean_SD,NA,NA,NA
El-Haggar 2024,RCT,Peroneal_nerve_latency,nerve conduction,Empagliflozin/standard of care,3 months,NA,Change,-0.15,0.21,25,NA,NA,NA,NA,NA,NA,NA,NA,0.15,0.17,25,NA,NA,NA,NA,NA,NA,NA,NA,implied ms,mean_SD,NA,NA,NA
Adhikari 2025,RCT,MDA,oxidative stress,Dapagliflozin/standard of care,NA,NA,Baseline,1.401409364,0.098602143,22,1.41,1.34,1.46,NA,NA,NA,NA,NA,1.360622767,0.153679608,18,1.41,1.28,1.46,NA,NA,NA,NA,NA,μmole/L,Median_IQR,NA,NA,NA
Adhikari 2025,RCT,MDA,oxidative stress,Dapagliflozin/standard of care,NA,NA,Endpoint,1.28758641,0.085455726,22,1.31,1.23,1.34,NA,NA,NA,NA,NA,1.284481497,0.100358085,18,1.3,1.22,1.35,NA,NA,NA,NA,NA,μmole/L,Median_IQR,NA,NA,NA
Adhikari 2025,RCT,MDA,oxidative stress,Dapagliflozin/standard of care,6 months,NA,Change,-0.103693288,0.142086526,22,-0.08,-0.2,-0.02,NA,NA,NA,NA,NA,-0.06425628,0.057490045,18,-0.07,-0.1,-0.03,NA,NA,NA,NA,NA,μmole/L,Median_IQR,NA,NA,NA
El-Haggar 2024,RCT,MDA,oxidative stress,Empagliflozin/standard of care,NA,NA,Baseline,5.6,1.96,25,NA,NA,NA,NA,NA,NA,NA,NA,5.5,1.87,25,NA,NA,NA,NA,NA,NA,NA,NA,none,mean_SD,NA,NA,NA
El-Haggar 2024,RCT,MDA,oxidative stress,Empagliflozin/standard of care,NA,NA,Endpoint,3.6,1.81,25,NA,NA,NA,NA,NA,NA,NA,NA,7.3,2.17,25,NA,NA,NA,NA,NA,NA,NA,NA,none,mean_SD,NA,NA,NA
El-Haggar 2024,RCT,MDA,oxidative stress,Empagliflozin/standard of care,3 months,NA,Change,-1.9,2.3,25,NA,NA,NA,NA,NA,NA,NA,NA,1.7,1.45,25,NA,NA,NA,NA,NA,NA,NA,NA,none,mean_SD,NA,NA,NA
